catalog_num,letters,mint,circulation,metal,weight,pure_metal_content,diameter,obverse,reverse,coin_name
Биткин-10; Конрос-8/8,(АР),Санкт-Петербургский,2 019 009 шт.,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1902 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 31 698 руб.Цена монеты 10 рублей 1902 г. (АР). Николай II  на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
VF
XF
AU
UNC
Proof
VFЦена: 28 813 руб.Проходов: 50XFЦена: 49 908 руб.Проходов: 1 012AUЦена: 56 474 руб.Проходов: 649UNCЦена: 66 781 руб.Проходов: 708ProofЦена: 998 102 руб.Проходов: 3Цена (руб.): 
28 813
49 908
56 474
66 781
998 102
Число проходов: 
50
1 012
649
708
3

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20034');","10 рублей, 1902 год"
Биткин-11; Конрос-8/9,(АР),Санкт-Петербургский,2 817 019 шт.,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1903 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 31 698 руб.Цена монеты 10 рублей 1903 г. (АР). Николай II  на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
Proof
FЦена: 346 руб.Проходов: 17VFЦена: 33 511 руб.Проходов: 50XFЦена: 50 386 руб.Проходов: 549AUЦена: 64 027 руб.Проходов: 566UNCЦена: 70 808 руб.Проходов: 1 658ProofЦена: 466 367 руб.Проходов: 2Цена (руб.): 
346
33 511
50 386
64 027
70 808
466 367
Число проходов: 
17
50
549
566
1 658
2

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20035');","10 рублей, 1903 год"
Биткин-12; Конрос-8/10,(АР),Санкт-Петербургский,1 024 510 шт.,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1904 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 31 698 руб.Цена монеты 10 рублей 1904 г. (АР). Николай II  на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
VF
XF
AU
UNC
Proof
VFЦена: 20 858 руб.Проходов: 138XFЦена: 56 275 руб.Проходов: 228AUЦена: 70 725 руб.Проходов: 116UNCЦена: 73 293 руб.Проходов: 1 185ProofЦена: 313 677 руб.Проходов: 2Цена (руб.): 
20 858
56 275
70 725
73 293
313 677
Число проходов: 
138
228
116
1 185
2

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20036');","10 рублей, 1904 год"
Биткин-13; Конрос-8/11,(АР),Санкт-Петербургский,10 шт.,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1906 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 31 698 руб.
document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20037');","10 рублей, 1906 год"
Биткин-14; Конрос-8/12,(ЭБ),Санкт-Петербургский,,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1909 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.","10 рублей, 1909 год"
Биткин-15; Конрос-8/13,(ЭБ),Санкт-Петербургский,100 018 шт.,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1910 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 31 698 руб.Цена монеты 10 рублей 1910 г. (ЭБ). Николай II  на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
VF
XF
AU
UNC
Proof
VFЦена: 127 214 руб.Проходов: 9XFЦена: 118 853 руб.Проходов: 88AUЦена: 123 362 руб.Проходов: 89UNCЦена: 320 902 руб.Проходов: 237ProofЦена: 552 841 руб.Проходов: 3Цена (руб.): 
127 214
118 853
123 362
320 902
552 841
Число проходов: 
9
88
89
237
3

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20039');","10 рублей, 1910 год"
Биткин-16; Конрос-8/14,(ЭБ),Санкт-Петербургский,50 011 шт.,золото (проба 900/1000),"8,6 г.","7,74 г.","22,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «10 РУБЛЕЙ» и год выпуска монеты «1911 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 31 698 руб.Цена монеты 10 рублей 1911 г. (ЭБ). Николай II  на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
FЦена: 39 058 руб.Проходов: 46VFЦена: 42 303 руб.Проходов: 369XFЦена: 46 885 руб.Проходов: 539AUЦена: 58 132 руб.Проходов: 699UNCЦена: 67 874 руб.Проходов: 1 349Цена (руб.): 
39 058
42 303
46 885
58 132
67 874
Число проходов: 
46
369
539
699
1 349

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20040');","10 рублей, 1911 год"
Биткин-17; Конрос-9/1,(АГ),Санкт-Петербургский,16 829 000 шт.,золото (проба 900/1000),"6,45 г.","5,805 г.","21,3 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «7 РУБЛЕЙ 50 КОПЕЕК» и год выпуска монеты «1897 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 23 774 руб.Цена монеты 7 рублей 50 копеек 1897 г. (АГ). Николай II 7 рублей 50 копеек на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
FЦена: 34 320 руб.Проходов: 35VFЦена: 37 185 руб.Проходов: 380XFЦена: 59 537 руб.Проходов: 758AUЦена: 69 020 руб.Проходов: 891UNCЦена: 109 260 руб.Проходов: 490Цена (руб.): 
34 320
37 185
59 537
69 020
109 260
Число проходов: 
35
380
758
891
490

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20041');","7,5 рублей, 1897 год"
Биткин-18; Конрос-20/1,(АГ),Санкт-Петербургский,5 372 000 шт.,золото (проба 900/1000),"4,3 г.","3,87 г.","18,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «5 РУБЛЕЙ» и год выпуска монеты «1897 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 15 849 руб.РазновидностиЧисло проходовЦена (руб.)Гурт гладкийЧисло проходов: 0Цена: 5 839 руб.05 839Инициалы минцмейстера АГЧисло проходов: 2313Цена: 32 556 руб.231332 556Цена монеты 5 рублей 1897 г. (АГ). Николай II Инициалы минцмейстера АГ на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
FЦена: 14 845 руб.Проходов: 100VFЦена: 12 866 руб.Проходов: 100XFЦена: 23 889 руб.Проходов: 926AUЦена: 24 454 руб.Проходов: 239UNCЦена: 32 556 руб.Проходов: 943Цена (руб.): 
14 845
12 866
23 889
24 454
32 556
Число проходов: 
100
100
926
239
943

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20043');","5 рублей, 1897 год"
Биткин-2; Конрос-1/2,(АГ),Санкт-Петербургский,11 900 033 шт.,золото (проба 900/1000),"12,9 г.","11,61 г.","24,6 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «15 РУБЛЕЙ» и год выпуска монеты «1897 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 47 547 руб.РазновидностиЧисло проходовЦена (руб.)Две последние буквы заходят за обрез шеиЧисло проходов: 492Цена: 39 719 руб.49239 719Три последние буквы заходят за обрез шеиЧисло проходов: 4379Цена: 115 445 руб.4379115 445Цена монеты 15 рублей 1897 г. (АГ). Николай II Три последние буквы заходят за обрез шеи на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
FЦена: 500 руб.Проходов: 1VFЦена: 45 685 руб.Проходов: 102XFЦена: 78 507 руб.Проходов: 1 426AUЦена: 92 906 руб.Проходов: 1 410UNCЦена: 115 445 руб.Проходов: 1 431Цена (руб.): 
500
45 685
78 507
92 906
115 445
Число проходов: 
1
102
1 426
1 410
1 431

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20026');","15 рублей, 1897 год"
Биткин-20; Конрос-20/3,(АГ),Санкт-Петербургский,52 378 008 шт.,золото (проба 900/1000),"4,3 г.","3,87 г.","18,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «5 РУБЛЕЙ» и год выпуска монеты «1898 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 15 849 руб.РазновидностиЧисло проходовЦена (руб.)Инициалы минцмейстера АГЧисло проходов: 7596Цена: 23 551 руб.759623 551Соосность сторон 180 градусовЧисло проходов: 30Цена: 13 509 руб.3013 509Гурт гладкийЧисло проходов: 2Цена: 10 400 руб.210 400Цена монеты 5 рублей 1898 г. (АГ). Николай II Инициалы минцмейстера АГ на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
Proof
FЦена: 6 466 руб.Проходов: 4VFЦена: 16 939 руб.Проходов: 269XFЦена: 23 551 руб.Проходов: 3 392AUЦена: 24 456 руб.Проходов: 1 041UNCЦена: 36 192 руб.Проходов: 2 875ProofЦена: 283 264 руб.Проходов: 2Цена (руб.): 
6 466
16 939
23 551
24 456
36 192
283 264
Число проходов: 
4
269
3 392
1 041
2 875
2

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20044');","5 рублей, 1898 год"
Биткин-24; Конрос-20/7,(ФЗ),Санкт-Петербургский,,золото (проба 900/1000),"4,3 г.","3,87 г.","18,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «5 РУБЛЕЙ» и год выпуска монеты «1899 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.","5 рублей, 1899 год"
Биткин-26; Конрос-20/9,(ФЗ),Санкт-Петербургский,31 077 013 шт.,золото (проба 900/1000),"4,3 г.","3,87 г.","18,5 мм.","в середине Малый Государственный Герб Российской империи, под ним вдоль края монеты номинал «5 РУБЛЕЙ» и год выпуска монеты «1900 Г.».","слева вдоль края монеты надпись «Б.М. НИКОЛАЙ II ИМПЕРАТОР», справа вдоль края монеты надпись «И САМОДЕРЖЕЦ ВСЕРОСС.», в середине обращенная влево голова Императора Российской империи Николая II.Гурт: Цена металла в монете: 15 849 руб.Цена монеты 5 рублей 1900 г. (ФЗ). Николай II  на Data = new Date(); Year = Data.getFullYear(); Month = Data.getMonth(); Day = Data.getDate(); document.write(Data.toLocaleDateString());
Сохранность: ?
F
VF
XF
AU
UNC
FЦена: 656 руб.Проходов: 2VFЦена: 12 603 руб.Проходов: 1 055XFЦена: 23 592 руб.Проходов: 632AUЦена: 25 393 руб.Проходов: 569UNCЦена: 38 610 руб.Проходов: 1 061Цена (руб.): 
656
12 603
23 592
25 393
38 610
Число проходов: 
2
1 055
632
569
1 061

document.getElementById('colprod').innerHTML=VizovServerCat('/getcollotprod.asp?idcat=20050');","5 рублей, 1900 год"
